id,title,author,text,label
1,Breaking: President announces new healthcare policy,John Doe,The President announced a comprehensive healthcare reform aimed at improving coverage.,1
2,Miracle cure discovered by local teen shocks doctors,Unknown,A local teenager claims to have found a miracle cure using household ingredients.,0
3,NASA confirms water on Mars in new research,NASA Team,NASA's recent study provides new evidence of liquid water on the surface of Mars.,1
4,You won't believe what this celebrity did!,Fake Buzz,A popular celebrity was seen doing something totally outrageous!,0
5,Local scientist invents free energy generator,Anon Source,A scientist in his garage claims he built a free energy generator defying physics.,0
6,Elections postponed due to natural disaster,Jane Smith,"Due to ongoing floods, the national elections have been delayed by two months.",1
7,Click this link to claim your free iPhone!,ClickDaily,Click here to participate in the iPhone giveaway. Limited time only!,0
8,Researchers publish results on cancer vaccine trial,Health Today,Positive results have been published on a new cancer vaccine tested in Europe.,1
9,This trick will make you millions overnight!,Rich Guru,Learn how to earn millions from home using this simple life hack!,0
10,Government launches nationwide clean water program,Official News,A new government initiative aims to provide clean drinking water to all citizens.,1
11,You won't believe what this celebrity did!,Viral Hoax,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
12,Tech company releases groundbreaking AI tool,NASA Team,Tech company releases groundbreaking AI tool - Details: This is a real news article with verified information.,1
13,Ancient pyramid found on Mars,Unknown,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
14,You won't believe what this celebrity did!,Fake Buzz,You won't believe what this celebrity did! - Details: This claim is unverified and likely to be fake.,0
15,Secret alien base discovered under the ocean,Viral Hoax,Secret alien base discovered under the ocean - Details: This claim is unverified and likely to be fake.,0
16,Government passes new environmental policy,BBC News,Government passes new environmental policy - Details: This is a real news article with verified information.,1
17,Ancient pyramid found on Mars,Fake Buzz,Ancient pyramid found on Mars - Details: This claim is unverified and likely to be fake.,0
18,Historic peace agreement reached between nations,Health Dept.,Historic peace agreement reached between nations - Details: This is a real news article with verified information.,1
19,Miracle cure found for all diseases,Viral Hoax,Miracle cure found for all diseases - Details: This claim is unverified and likely to be fake.,0
